id,text
219,"Apples, peaches, and raspberries are all members of the rose family."
220,"Arachibutyrophobia is the fear of peanut butter sticking to the roof of your mouth."
221,"The world's largest pizza was 122 feet in diameter."
222,"Pistachios are technically fruits."
223,"Coconuts kill more people than sharks every year."
224,"A strawberry is not actually a berry, but a banana is."
225,"Potatoes can absorb and reflect WiFi signals."
226,"Ripe cranberries will bounce like rubber balls."
227,"Lemons contain more sugar than strawberries."
228,"The McDonald's in Japan serves shrimp burgers."
229,"Dynamite is made from peanuts."
230,"Green, yellow, and red bell peppers are not the same vegetable; they're different cultivars."
231,"Avocados are toxic to birds."
232,"Crackers have small holes to prevent air bubbles during baking."
233,"The Popsicle was invented by an 11-year-old in 1905."
234,"The longest English word without a vowel is ""rhythms""."
235,"The word ""nerd"" was first coined by Dr. Seuss in 1950."
236,"The symbol ""&"" is called an ampersand."
237,"The shortest complete sentence in the English language is ""I am""."
238,"The word ""queue"" is the only word pronounced the same when its last four letters are removed."
239,"""Bookkeeper"" is the only word in English with three consecutive double letters."
240,"The letter ""e"" is the most common letter in the English language."
241,"The word ""alphabet"" comes from the first two letters of the Greek alphabet: alpha and beta."
242,"""Strengths"" is the longest word with only one vowel."
243,"The dot over the lowercase ""i"" and ""j"" is called a ""tittle""."
244,"The sentence ""The quick brown fox jumps over the lazy dog"" uses every letter in the English alphabet."
245,"The word ""goodbye"" comes from ""God be with ye""."
246,"The hashtag symbol is also called an octothorpe."
247,"The word ""testify"" is based on Roman men swearing on their testicles."
248,"""Pronunciation"" is the word most mispronounced."
249,"The longest word in the English language is 189,819 letters long (the chemical name for titin)."
250,"The word ""vowel"" contains every vowel except for ""o""."
251,"Actually, ""vowel"" contains every vowel including ""o"". Let me fix that: ""facetious"" contains all vowels in order."
252,"The word ""swims"" upside down is still ""swims""."
253,"""Four"" is the only number in English spelled with the same number of letters as its value."
254,"The word ""mortgage"" comes from French and literally means ""death pledge""."
255,"The longest one-syllable word in English is ""screeched""."
256,"""Dreamt"" is the only English word that ends in ""mt""."
257,"The word ""lethologica"" describes the inability to remember a word."
258,"Shakespeare invented over 1,700 words."
259,"The words ""race car"" and ""kayak"" are palindromes."
260,"The letter ""Q"" is the only letter that doesn't appear in any U.S. state name."
261,"Cleopatra lived closer in time to the moon landing than to the construction of the Great Pyramid."
262,"Oxford University is older than the Aztec Empire."
263,"The Great Pyramid was built around 2560 BC, and Cleopatra lived around 30 BC."
264,"The last execution by guillotine in France was in 1977."
265,"The first pyramids were built before woolly mammoths went extinct."
266,"Nintendo was founded in 1889, originally making playing cards."
267,"The fax machine was invented in 1843, before the telephone."
268,"The can opener was invented 48 years after the can."
269,"The Titanic sank the same year the Oreo cookie was invented (1912)."
270,"Alaska was the last state to join the United States in 1959."
271,"The Great Wall of China was built over many centuries, starting around 7th century BC."
272,"Julius Caesar was kidnapped by pirates and held for ransom."
273,"Napoleon was once attacked by a horde of bunnies."
274,"Ancient Romans used urine to whiten their teeth."
275,"Vikings used the bones of slain animals to make their weapons stronger."
276,"The shortest war in history lasted 38 minutes (Britain vs. Zanzibar, 1896)."
277,"Ancient Egyptians used slabs of stone as pillows."
278,"The oldest known customer complaint was written on a clay tablet in 1750 BC."
279,"In ancient Rome, it was considered a sign of leadership to be born with a crooked nose."
280,"The Roman Emperor Caligula made his horse a senator."
281,"During World War II, a bear named Wojtek served in the Polish army."
282,"The Dancing Plague of 1518 caused people to dance uncontrollably for days."
283,"In Victorian England, it was fashionable to photograph the dead."
284,"The Roman Empire and the Han Dynasty existed at the same time but never knew of each other."
285,"Vikings discovered America 500 years before Columbus."
286,"The Leaning Tower of Pisa has never been straight."
287,"Mozart wrote his first symphony at age 8."
288,"Benjamin Franklin never patented any of his inventions."
289,"Abraham Lincoln is in the Wrestling Hall of Fame."
290,"George Washington grew marijuana in his garden."
291,"The inventor of the Pringles can is buried in one."
292,"Walt Disney was afraid of mice."
293,"Albert Einstein never wore socks."
294,"Leonardo da Vinci could write with one hand and draw with the other at the same time."
295,"Isaac Newton died a virgin."
296,"Thomas Edison was afraid of the dark."
297,"The first computer programmer was a woman named Ada Lovelace."
298,"Nikola Tesla was a germaphobe and hated touching round objects."
299,"Mark Twain was born during Halley's Comet and died during its next appearance."
300,"Charles Darwin married his first cousin."
301,"Baby carrots are just regular carrots cut into smaller pieces."
302,"Lobsters were once considered prison food."
303,"Canned food was invented 45 years before the can opener."
304,"The inventor of the frisbee was turned into a frisbee after he died."
305,"Bubble wrap was originally invented to be used as wallpaper."
306,"Play-Doh was originally designed to clean wallpaper."
307,"Silly Putty was accidentally invented by scientists trying to create synthetic rubber."
308,"Velcro was invented after its creator noticed burrs sticking to his dog's fur."
309,"The chainsaw was originally invented to assist with childbirth."
310,"The treadmill was originally a punishment device for prisoners."
311,"Ketchup was sold as medicine for indigestion in the 1830s."
312,"Coca-Cola was originally green."
313,"The microwave was invented after a researcher walked by a radar tube and a chocolate bar melted in his pocket."
314,"The Slinky was invented by accident when an engineer dropped a spring."
315,"Post-it Notes were invented by accident when a scientist was trying to create a super-strong adhesive."
316,"Cornflakes were invented to reduce sexual desire."
317,"Graham crackers were also invented to reduce sexual desire."
318,"The Eiffel Tower was originally intended for Barcelona, but they rejected it."
319,"The Statue of Liberty was originally intended to be in Egypt."
320,"Big Ben is the name of the bell, not the clock tower (which is named Elizabeth Tower)."
321,"The Hollywood sign originally said ""Hollywoodland""."
322,"The Golden Gate Bridge is not actually golden; it's international orange."
323,"Mount Rushmore was never completed; the presidents were supposed to be depicted from the waist up."
324,"The Leaning Tower of Pisa took almost 200 years to build."
325,"The Sydney Opera House took 14 years to build and was 10 years behind schedule."
326,"The Empire State Building was built in just 410 days."
327,"The Hoover Dam contains enough concrete to build a two-lane highway from San Francisco to New York."
328,"The Pentagon has twice as many bathrooms as necessary because of segregation laws when it was built."
329,"There are more public libraries than McDonald's in the U.S."
330,"The White House has 132 rooms, 35 bathrooms, and 6 levels."
331,"The Burj Khalifa in Dubai is so tall you can watch two sunsets in one day."
332,"There's a basketball court on the top floor of the U.S. Supreme Court building."
333,"The Great Wall of China is held together with sticky rice mortar."
334,"The Colosseum could be filled or emptied in 15 minutes."
335,"The Panama Canal connects the Atlantic and Pacific Oceans."
336,"The Channel Tunnel between England and France is 31 miles long."
337,"The longest bridge in the world is the Danyang–Kunshan Grand Bridge in China at 102 miles."
338,"The tallest building in the world is the Burj Khalifa at 2,722 feet."
339,"The deepest hole ever dug is the Kola Superdeep Borehole in Russia at 7.5 miles deep."
340,"The longest road in the world is the Pan-American Highway at about 19,000 miles."
341,"Otters hold hands while sleeping so they don't drift apart."
342,"A group of pugs is called a ""grumble""."
343,"Cows have best friends and get stressed when separated."
344,"Squirrels plant thousands of new trees each year by forgetting where they buried their acorns."
345,"Penguins propose to their mates with a pebble."
346,"Sea otters have a pocket of skin under their forearms to store their favorite rock."
347,"Dolphins have names for each other."
348,"Elephants can recognize themselves in mirrors."
349,"Rats laugh when tickled."
350,"Butterflies taste with their feet."
351,"A flamingo can only eat when its head is upside down."
352,"Sloths can hold their breath longer than dolphins."
353,"A snail can sleep for three years."
354,"Gorillas can catch human colds and other illnesses."
355,"A group of ferrets is called a ""business""."
356,"Honeybees can recognize human faces."
357,"Crows can hold grudges against specific people."
358,"Pigs are smarter than dogs."
359,"Octopuses have three hearts and blue blood."
360,"A mantis shrimp can punch with the force of a bullet."
361,"Hummingbirds are the only birds that can fly backwards."
362,"A woodpecker's tongue wraps around its brain to protect it."
363,"Owls can't move their eyeballs."
364,"A flea can jump 200 times its own height."
365,"Giraffes have the same number of neck vertebrae as humans (7)."
366,"A blue whale's heart is the size of a small car."
367,"Komodo dragons can reproduce without a mate."
368,"Male seahorses give birth, not females."
369,"A group of jellyfish is called a ""smack""."
370,"Turkeys can blush when they're excited or scared."
371,"A duck's quack does echo, contrary to popular myth."
372,"Horses can't vomit."
373,"A goldfish's memory lasts for months, not seconds."
374,"Platypuses don't have stomachs."
375,"Cheetahs can't roar, but they can purr."
376,"Polar bears have black skin under their white fur."
377,"A grizzly bear's bite is strong enough to crush a bowling ball."
378,"Reindeer eyes turn blue in winter."
379,"Armadillos always give birth to identical quadruplets."
380,"A pig's orgasm lasts 30 minutes."
381,"Hippos can run faster than humans on land."
382,"Kangaroos can't walk backwards."
383,"A bat can eat up to 1,000 insects per hour."
384,"Axolotls can regenerate their limbs, spinal cord, heart, and other organs."
385,"Tardigrades can survive in space."
386,"The immortal jellyfish can reverse its aging process."
387,"A chameleon's tongue is twice the length of its body."
388,"Butterflies have taste sensors on their feet."
389,"Mosquitoes are attracted to people who just ate bananas."
390,"Dragonflies have six legs but can't walk."
391,"Ants never sleep."
392,"Bees can recognize human faces."
393,"A cockroach can live for weeks without its head."
394,"Spiders don't have muscles in their legs; they move using hydraulic pressure."
395,"Lobsters don't age and can theoretically live forever."
396,"The longest living animal is a type of clam called the ocean quahog, which can live over 500 years."
397,"A blue whale's tongue weighs as much as an elephant."
398,"Narwhal tusks are actually an inside-out tooth."
399,"Electric eels can produce a shock of up to 600 volts."
400,"The pistol shrimp can create a bubble that reaches 8,000°F."
401,"There are more fake flamingos in the world than real ones."
402,"A cat has 32 muscles in each ear."
403,"Dogs' noses are wet to help absorb scent chemicals."
404,"A group of ravens is called an ""unkindness""."
405,"Koalas sleep up to 22 hours a day."
406,"A giraffe's tongue is about 20 inches long and is black."
407,"Chickens can remember over 100 different faces."
408,"Pigeons can do math."
409,"Zebras are black with white stripes, not white with black stripes."
410,"A wolf's howl can be heard up to 10 miles away."
411,"Beavers' teeth never stop growing."
412,"A python can survive for up to two years without food."
413,"Sharks existed before trees."
414,"The mantis shrimp has the most complex eyes in the animal kingdom."
415,"Hummingbirds can't walk or hop."
416,"A group of pandas is called an ""embarrassment""."
417,"Frogs can freeze solid and then thaw out and hop away."
418,"Sea cucumbers can eject their internal organs to escape predators and regrow them later."
419,"The Arctic tern migrates about 44,000 miles annually."
420,"Parrots can live over 80 years."
421,"A crocodile's bite is the strongest bite in the animal kingdom."
422,"Salamanders can regenerate lost limbs."
423,"Moose are excellent swimmers."
424,"Hedgehogs are immune to snake venom."
425,"A group of hedgehogs is called a ""prickle""."
426,"Rabbits can't vomit."
427,"Hares are born with fur and can see; rabbits are born blind and hairless."
428,"A mole can dig a tunnel 300 feet long in a single night."
429,"Meerkats have a dedicated babysitter in their group."
430,"Prairie dogs greet each other with kisses."
431,"Otters have the densest fur of any animal."
432,"Wolves mate for life."
433,"Baby elephants suck their trunks for comfort, like human babies suck their thumbs."
434,"Tigers' stripes are unique like human fingerprints."
435,"Lions sleep up to 20 hours a day."
436,"Leopards can carry prey twice their weight up a tree."
437,"Jaguars have the strongest bite of any big cat relative to their size."
438,"Snow leopards can't roar."
439,"Cheetahs purr like house cats."
440,"A pride of lions consists mostly of females."
441,"Male lions' manes grow darker as they age."
442,"Hyenas have one of the strongest bites in the animal kingdom."
443,"African wild dogs have a 80% hunting success rate, the highest of any predator."
444,"Honey badgers are immune to cobra venom."
445,"Wolverines can take down prey much larger than themselves."
446,"Weasels do a ""war dance"" when hunting."
447,"Ferrets were domesticated over 2,500 years ago."
448,"Raccoons can remember solutions to tasks for up to three years."
449,"Bears have an excellent sense of smell, better than dogs."
450,"Sloths only defecate once a week."
451,"Capybaras are the world's largest rodents."
452,"Beavers can hold their breath for 15 minutes underwater."
453,"Otters use tools to crack open shellfish."
454,"Dolphins sleep with one eye open."
455,"Whales can't breathe through their mouths."
456,"A blue whale's heartbeat can be detected from two miles away."
457,"Orcas are actually dolphins, not whales."
458,"Beluga whales' necks are flexible, unlike other whales."
459,"Sperm whales can dive over 7,000 feet deep."
460,"Manatees are related to elephants."
461,"Dugongs are thought to have inspired mermaid legends."
462,"Walruses can suck prey out of their shells."
463,"Seals can sleep underwater and surface for air without waking."
464,"Sea lions can dance to a beat."
465,"Penguins can drink saltwater."
466,"Emperor penguins can dive deeper than any other bird."
467,"Puffins mate for life."
468,"Albatrosses can fly for years without touching land."
469,"Ostriches have the largest eyes of any land animal."
470,"Kiwi birds are nearly blind."
471,"Cassowaries are considered the world's most dangerous bird."
472,"Eagles can see fish from up to a mile away."
473,"Bald eagles aren't actually bald."
474,"Vultures have extremely acidic stomach acid to digest rotting meat."
475,"Flamingos get their pink color from the food they eat."
476,"Peacocks are males; females are called peahens."
477,"A peacock's tail feathers account for 60% of its body length."
478,"Hummingbirds beat their wings up to 80 times per second."
479,"Woodpeckers' tongues wrap around their skulls."
480,"Parrots name their babies."
481,"Crows can recognize individual human faces and hold grudges."
482,"Ravens can learn to mimic human speech."
483,"Magpies can recognize themselves in mirrors."
484,"Blue jays can imitate hawk calls to scare other birds away."
485,"Cardinals mate for life."
486,"Robins can see magnetic fields."
487,"Owls can rotate their heads 270 degrees."
488,"Barn owls can hunt in complete darkness using only sound."
489,"Pelicans can hold up to 3 gallons of water in their beaks."
490,"Toucan beaks are made of hollow bone and keratin."
491,"Kingfishers can see underwater."
492,"Swans mate for life and can die of heartbreak."
493,"Ducks have three eyelids."
494,"Geese fly in a V formation to conserve energy."
495,"Chickens are the closest living relatives to Tyrannosaurus rex."
496,"Turkeys can have heart attacks; they died from shock after the U.S. Air Force broke the sound barrier."
497,"Quails can remember up to 100 different faces."
498,"Pigeons can find their way home from over 1,000 miles away."
499,"Pigeons can detect earthquakes before they happen."
500,"Bats are the only mammals that can fly."
501,"Vampire bats have an anti-coagulant in their saliva."
502,"Fruit bats are important pollinators."
503,"Bats eat up to 1,000 insects per hour."
504,"A bat's wing is similar to a human hand."
505,"Some bats can live over 30 years."
506,"Bats navigate using echolocation."
507,"The bumblebee bat is the world's smallest mammal."
508,"Flying foxes are bats, not foxes."
509,"Bats can detect temperature changes of 0.036°F."
510,"Japan is made up of over 6,800 islands."
511,"Canada has the longest coastline in the world."
512,"Vatican City is the smallest country in the world."
513,"Monaco is the most densely populated country."
514,"Mongolia is the least densely populated country."
515,"Russia spans 11 time zones."
516,"France has the most time zones (12, including territories)."
517,"Australia is wider than the moon."
518,"Africa is the only continent in all four hemispheres."
519,"The Nile is longest river in the world."
520,"The Amazon is largest river by volume."
521,"Lake Superior is the largest freshwater lake by surface area."
522,"The Caspian Sea is the largest inland body of water."
523,"The Dead Sea is 9 times saltier than the ocean."
524,"The Mariana Trench is the deepest part of the ocean at 36,000 feet."
525,"Mount Everest is the tallest mountain above sea level."
526,"Mauna Kea in Hawaii is the tallest mountain from base to peak."
527,"The Andes is longest mountain range."
528,"The Himalayas are still growing."
529,"Antarctica is the driest, windiest, and coldest continent."
530,"Antarctica has no permanent residents."
531,"The Antarctic ice sheet contains 70% of the world's fresh water."
532,"The Arctic has no land, only ice."
533,"Iceland has no mosquitoes."
534,"New Zealand has no native land mammals."
535,"Madagascar has unique wildlife found nowhere else."
536,"The Galápagos Islands inspired Darwin's theory of evolution."
537,"Easter Island's famous statues are called moai."
538,"The Bermuda Triangle is roughly 500,000 square miles."
539,"The Sahara Desert is about the size of the United States."
540,"The Gobi Desert is expanding."
541,"The Atacama Desert in Chile is the driest place on Earth."
542,"Death Valley is the hottest place on Earth."
543,"Oymyakon, Russia is the coldest inhabited place on Earth."
544,"The longest place name in the world is Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu in New Zealand (85 letters)."
545,"The shortest place name is Å in Norway."
546,"There's a town in Norway called Hell."
547,"There's a town in Austria called Fucking (now changed to Fugging)."
548,"Turkey is in both Europe and Asia."
549,"Russia is in both Europe and Asia."
550,"Egypt is in both Africa and Asia."
551,"Istanbul is the only city in two continents."
552,"Dubai has the tallest building, largest shopping mall, and tallest hotel."
553,"Singapore is both a city and a country."
554,"Hong Kong has more skyscrapers than any other city."
555,"Venice is built on 118 islands."
556,"Amsterdam has more canals than Venice."
557,"Lagos, Nigeria has more people than New York City."
558,"Tokyo is the most populous metropolitan area."
559,"The Great Barrier Reef is the world's largest living structure."
560,"The Great Barrier Reef can be seen from space."
561,"Coral reefs cover less than 1% of the ocean floor but support 25% of marine life."
562,"The ocean contains 20 million tons of gold."
563,"The ocean is 5% explored."
564,"The Pacific Ocean is larger than all land on Earth combined."
565,"The Atlantic Ocean is saltier than the Pacific."
566,"The Gulf Stream is like a river in the ocean."
567,"The Arctic Ocean is the smallest and shallowest ocean."
568,"The Southern Ocean is the newest ocean (defined in 2000)."
569,"Icebergs in the Arctic are mostly from glaciers; in Antarctica, from ice shelves."
570,"90% of an iceberg is underwater."
571,"The largest iceberg ever recorded was larger than Jamaica."
572,"Fresh water freezes at 32°F; salt water freezes at about 28°F."
573,"Water is the only substance less dense as a solid than as a liquid."
574,"Hot water freezes faster than cold water (Mpemba effect)."
575,"Water can boil and freeze at the same time (triple point)."
